ObservableProperty,Procedure Identifier,Result Type,Unit specified with procedure,Collection 1,Notation,Part of soil/fraction
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/14H1,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/14H1,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/14H1,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15A1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15A1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15A1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15A1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15A2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15A2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15A2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15A2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15A3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15A3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15A3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15A3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
